qubits,one_qubit_gates,two_qubit_gates,gate_fault_lower_bound,gate_fault_lower_bound_percent,compiled_depth,two_qubit_gate_types,multi_qubit_gates,trotter_steps
4,151,75,0.09556112569891484,9.556112569891484,103,ZZPhase=75,0,25
5,201,100,0.12533215857482516,12.533215857482515,105,ZZPhase=100,0,25
6,251,125,0.15412323092086144,15.412323092086144,107,ZZPhase=125,0,25
7,301,150,0.18196659968437667,18.196659968437668,109,ZZPhase=150,0,25
8,351,175,0.20889346002439535,20.889346002439535,111,ZZPhase=175,0,25
9,401,200,0.2349339802620527,23.49339802620527,113,ZZPhase=200,0,25
10,451,225,0.2601173356805836,26.01173356805836,115,ZZPhase=225,0,25
11,501,250,0.284471741212733,28.4471741212733,117,ZZPhase=250,0,25
12,551,275,0.30802448305220764,30.802448305220764,119,ZZPhase=275,0,25
13,601,300,0.3308019492245867,33.08019492245867,121,ZZPhase=300,0,25
14,651,325,0.3528296591519441,35.28296591519441,123,ZZPhase=325,0,25
15,701,350,0.37413229224430233,37.41322922443023,125,ZZPhase=350,0,25
16,751,375,0.39473371554995584,39.47337155499559,127,ZZPhase=375,0,25
17,801,400,0.4146570104956391,41.465701049563904,129,ZZPhase=400,0,25
18,851,425,0.43392449874649985,43.392449874649984,131,ZZPhase=425,0,25
19,901,450,0.45255776721485097,45.2557767214851,133,ZZPhase=450,0,25
20,951,475,0.4705776922457191,47.05776922457191,135,ZZPhase=475,0,25
