h_over_J,time,total_shots,accepted_shots,acceptance_rate_percent,discarded_shots,discard_rate_percent,sindrome_inicial_discarded_shots,sindrome_inicial_discard_rate_percent,sindrome_intermedio_discarded_shots,sindrome_intermedio_discard_rate_percent,sindrome_final_discarded_shots,sindrome_final_discard_rate_percent,paridad_discarded_shots,paridad_discard_rate_percent
2.0,0.041666666666666664,50000,10839,21.678,39161,78.322,527,1.054,6126,12.252,21736,43.472,10772,21.544
2.0,0.08333333333333333,50000,10832,21.664,39168,78.336,496,0.992,6301,12.602,21650,43.3,10721,21.442
2.0,0.125,50000,10787,21.574,39213,78.426,544,1.088,6145,12.29,21660,43.32,10864,21.728
2.0,0.16666666666666666,50000,8706,17.412,41294,82.588,535,1.07,14532,29.064,17513,35.026,8714,17.428
2.0,0.20833333333333331,50000,10748,21.496,39252,78.504,524,1.048,6339,12.678,21737,43.474,10652,21.304
2.0,0.25,50000,8616,17.232,41384,82.768,524,1.048,14943,29.886,17263,34.526,8654,17.308
2.0,0.29166666666666663,50000,10574,21.148,39426,78.852,505,1.01,6213,12.426,22055,44.11,10653,21.306
2.0,0.3333333333333333,50000,10619,21.238,39381,78.762,466,0.932,6222,12.444,21930,43.86,10763,21.526
2.0,0.375,50000,8799,17.598,41201,82.402,494,0.988,13679,27.358,18198,36.396,8830,17.66
2.0,0.41666666666666663,50000,8981,17.962,41019,82.038,560,1.12,13259,26.518,18335,36.67,8865,17.73
2.0,0.4583333333333333,50000,10706,21.412,39294,78.588,512,1.024,6460,12.92,21570,43.14,10752,21.504
2.0,0.5,50000,10623,21.246,39377,78.754,512,1.024,6605,13.21,21693,43.386,10567,21.134
2.0,0.5416666666666666,50000,9130,18.26,40870,81.74,516,1.032,13074,26.148,18287,36.574,8993,17.986
2.0,0.5833333333333333,50000,9038,18.076,40962,81.924,509,1.018,12772,25.544,18536,37.072,9145,18.29
2.0,0.625,50000,10647,21.294,39353,78.706,544,1.088,6714,13.428,21535,43.07,10560,21.12
2.0,0.6666666666666666,50000,10578,21.156,39422,78.844,517,1.034,6719,13.438,21551,43.102,10635,21.27
2.0,0.7083333333333333,50000,10678,21.356,39322,78.644,487,0.974,6508,13.016,21683,43.366,10644,21.288
2.0,0.75,50000,9474,18.948,40526,81.052,530,1.06,11427,22.854,19206,38.412,9363,18.726
2.0,0.7916666666666666,50000,9449,18.898,40551,81.102,518,1.036,11524,23.048,19161,38.322,9348,18.696
2.0,0.8333333333333333,50000,10627,21.254,39373,78.746,571,1.142,6658,13.316,21567,43.134,10577,21.154
2.0,0.875,50000,10594,21.188,39406,78.812,548,1.096,6758,13.516,21394,42.788,10706,21.412
2.0,0.9166666666666666,50000,9531,19.062,40469,80.938,581,1.162,10628,21.256,19641,39.282,9619,19.238
2.0,0.9583333333333333,50000,10386,20.772,39614,79.228,518,1.036,6907,13.814,21471,42.942,10718,21.436
2.0,1.0,50000,10690,21.38,39310,78.62,552,1.104,6686,13.372,21425,42.85,10647,21.294
