trotter_steps,compiled_depth,one_qubit_gates,two_qubit_gates,multi_qubit_gates,two_qubit_gate_types,abs_error_mz,abs_error_mz2,abs_error_czz
1,15,21,7,0,ZZPhase=7,0.8376950746737726,0.2244004529758756,0.1355990490999319
2,12,24,13,0,ZZPhase=13,0.0121661626862941,0.3374645647162309,0.3444109191111766
4,18,35,21,0,ZZPhase=21,0.4256272947682493,0.141609787517463,0.1222118202676806
8,42,105,56,0,ZZPhase=56,0.0026348595965119,0.1892474895980055,0.2137558910014731
16,75,216,112,0,ZZPhase=112,0.0007618063862014,0.1676633244713521,0.1846657071777571
32,139,449,224,0,ZZPhase=224,0.0001271277191031,0.0428693546311448,0.0453843575289962
64,265,833,448,0,ZZPhase=448,2.963178427747848e-05,0.0105716884404768,0.0110596277651459
128,521,1671,896,0,ZZPhase=896,7.318665361771837e-06,0.0026312949239687,0.002744042350298
256,1035,3591,1792,0,ZZPhase=1792,1.8248599494563589e-06,0.0006570602627282,0.0006846633135503
512,2058,7174,3584,0,ZZPhase=3584,4.559270125603643e-07,0.0001642167819606,0.0001710809566988
1024,4106,14336,7168,0,ZZPhase=7168,1.1396386337403365e-07,4.10511744691755e-05,4.276493091248667e-05
