h_over_J,time,trotter_steps,dt,sim_mz,exact_mz,abs_error_mz,sim_mz2,exact_mz2,abs_error_mz2,sim_czz,exact_czz,abs_error_czz
0.5,1.0,1,1.0,0.5403023058681403,0.8175903486138817,0.27728804274574137,0.3804357590106263,0.7252329649885917,0.34479720597796537,0.2919265817264294,0.7715636795453144,0.47963709781888497
0.5,1.0,2,0.5,0.7827864398003551,0.8175903486138817,0.034803908813526574,0.6758858402242048,0.7252329649885917,0.04934712476438685,0.7112617538122646,0.7715636795453144,0.06030192573304971
0.5,1.0,4,0.25,0.8099328734644646,0.8175903486138817,0.007657475149417059,0.7142228016072901,0.7252329649885917,0.011010163381301563,0.758418775587456,0.7715636795453144,0.01314490395785839
0.5,1.0,8,0.125,0.8157327234720969,0.8175903486138817,0.00185762514178478,0.7225538819071845,0.7252329649885917,0.0026790830814071853,0.7683822095270967,0.7715636795453144,0.003181470018217669
0.5,1.0,16,0.0625,0.8171293733656146,0.8175903486138817,0.00046097524826704817,0.724567653108219,0.7252329649885917,0.0006653118803726654,0.7707746409486237,0.7715636795453144,0.000789038596690661
0.5,1.0,32,0.03125,0.8174753174960275,0.8175903486138817,0.00011503111785415854,0.7250669136883787,0.7252329649885917,0.000166051300212966,0.7713668121464811,0.7715636795453144,0.0001968673988332892
0.5,1.0,64,0.015625,0.8175616041007496,0.8175903486138817,2.8744513132061833e-05,0.7251914694241839,0.7252329649885917,4.149556440780078e-05,0.7715144871599081,0.7715636795453144,4.919238540623816e-05
0.5,1.0,128,0.0078125,0.8175831633143247,0.8175903486138817,7.185299557010971e-06,0.7252225921757833,0.7252329649885917,1.037281280835689e-05,0.7715513829771162,0.7715636795453144,1.2296568198122415e-05
0.5,1.0,256,0.00390625,0.817588552339189,0.8175903486138817,1.7962746926558637e-06,0.7252303718507103,0.7252329649885917,2.5931378814236794e-06,0.7715606054972015,0.7715636795453144,3.0740481128388453e-06
0.5,1.0,512,0.001953125,0.8175898995517058,0.8175903486138817,4.4906217588902564e-07,0.725232316712681,0.7252329649885917,6.48275910730689e-07,0.7715629110431482,0.7715636795453144,7.685021661263391e-07
0.5,1.0,1024,0.0009765625,0.8175902363420231,0.8175903486138817,1.1227185858775357e-07,0.7252328029112738,0.7252329649885917,1.6207731790007784e-07,0.7715634874128852,0.7715636795453144,1.921324291886961e-07
1.0,1.0,1,1.0,-0.41614683654713885,0.23911267544186998,0.6552595119890088,0.27653091587216716,0.27945773602424034,0.002926820152073184,0.17317818956819142,0.4889454276261531,0.3157672380579617
1.0,1.0,2,0.5,0.15102604441910317,0.23911267544186998,0.08808663102276681,0.22567043612216742,0.27945773602424034,0.05378729990207293,0.38271608553755426,0.4889454276261531,0.10622934208859885
1.0,1.0,4,0.25,0.21971085731267792,0.23911267544186998,0.01940181812919206,0.26610523138228304,0.27945773602424034,0.013352504641957308,0.46502282300350445,0.4889454276261531,0.02392260462264867
1.0,1.0,8,0.125,0.2344083162135425,0.23911267544186998,0.004704359228327487,0.27613581343024773,0.27945773602424034,0.00332192259399261,0.48311598776714815,0.4889454276261531,0.00582943985900497
1.0,1.0,16,0.0625,0.2379454685290911,0.23911267544186998,0.0011672069127788842,0.27862838322208405,0.27945773602424034,0.0008293528021562913,0.4874973091584709,0.4889454276261531,0.0014481184676822245
1.0,1.0,32,0.03125,0.23882142512076776,0.23911267544186998,0.00029125032110222104,0.27925046996618635,0.27945773602424034,0.0002072660580539898,0.4885839723599146,0.4889454276261531,0.00036145526623854174
1.0,1.0,64,0.015625,0.23903989726616653,0.23911267544186998,7.277817570344736e-05,0.2794059240439209,0.27945773602424034,5.1811980319449447e-05,0.4888550996558905,0.4889454276261531,9.032797026259365e-05
1.0,1.0,128,0.0078125,0.23909448304748837,0.23911267544186998,1.819239438161091e-05,0.27944478331295863,0.27945773602424034,1.2952711281710716e-05,0.48892284787313717,0.4889454276261531,2.2579753015949944e-05
1.0,1.0,256,0.00390625,0.23910812747774793,0.23911267544186998,4.547964122053605e-06,0.2794544978641772,0.27945773602424034,3.238160063145923e-06,0.4889397828278125,0.4889454276261531,5.644798340642687e-06
1.0,1.0,512,0.001953125,0.2391115384571287,0.23911267544186998,1.136984741273439e-06,0.27945692648508724,0.27945773602424034,8.095391531015572e-07,0.48894401643595675,0.4889454276261531,1.411190196365375e-06
1.0,1.0,1024,0.0009765625,0.23911239119905978,0.23911267544186998,2.8424281020567044e-07,0.2794575336398504,0.27945773602424034,2.0238438996900143e-07,0.4889450748282767,0.4889454276261531,3.52797876412847e-07
2.0,1.0,1,1.0,-0.6536436208636183,-0.4158334328843922,0.2378101879792261,0.49884373520873904,0.3885036607629468,0.11034007444579225,0.4272499830957016,0.5285414635587911,0.10129148046308944
2.0,1.0,2,0.5,-0.04349324254500058,-0.4158334328843922,0.3723401903393916,0.2093187999052054,0.3885036607629468,0.17918486085774138,0.3581205082601555,0.5285414635587911,0.17042095529863555
2.0,1.0,4,0.25,-0.36523552603050974,-0.4158334328843922,0.050597906853882435,0.35102944367629385,0.3885036607629468,0.03747421708665294,0.4906738878955331,0.5285414635587911,0.037867575663257935
2.0,1.0,8,0.125,-0.4043794735425096,-0.4158334328843922,0.011453959341882591,0.3795381213934728,0.3885036607629468,0.008965539369473974,0.5194748119028982,0.5285414635587911,0.009066651655892821
2.0,1.0,16,0.0625,-0.4130350399669237,-0.4158334328843922,0.002798392917468473,0.38628569151420045,0.3885036607629468,0.002217969248746343,0.526298781232041,0.5285414635587911,0.0022426823267500673
2.0,1.0,32,0.03125,-0.4151377737544191,-0.4158334328843922,0.0006956591299730475,0.3879506058688271,0.3885036607629468,0.0005530548941196645,0.5279822751506333,0.5285414635587911,0.0005591884081577181
2.0,1.0,64,0.015625,-0.4156597623426164,-0.4158334328843922,0.00017367054177575003,0.38836548647755087,0.3885036607629468,0.00013817428539592003,0.5284017588326277,0.5285414635587911,0.00013970472616331442
2.0,1.0,128,0.0078125,-0.4157900304841903,-0.4158334328843922,4.340240020189734e-05,0.388469122775437,0.3885036607629468,3.453798750979731e-05,0.5285065431467272,0.5285414635587911,3.492041206387686e-05
2.0,1.0,256,0.00390625,-0.4158225832364523,-0.4158334328843922,1.0849647939847884e-05,0.38849502661512,0.3885036607629468,8.63414782681371e-06,0.5285327338163428,0.5285414635587911,8.72974244825464e-06
2.0,1.0,512,0.001953125,-0.41583072053077463,-0.4158334328843922,2.7123536175399643e-06,0.3885015022474083,0.3885036607629468,2.1585155384751253e-06,0.5285392811459092,0.5285414635587911,2.1824128818570543e-06
2.0,1.0,1024,0.0009765625,-0.41583275479806114,-0.4158334328843922,6.780863310296148e-07,0.3885031211345697,0.3885036607629468,5.396283770942034e-07,0.5285409179561468,0.5285414635587911,5.456026442862694e-07
0.5,2.5,1,2.5,-0.8011436155469394,0.7611858141955683,1.5623294297425077,0.6866022061401694,0.7035340955976432,0.016931889457473814,0.6418310927316222,0.80191789966,0.16008680692837784
0.5,2.5,2,1.25,-0.12965777868846246,0.7611858141955683,0.8908435928840308,0.1328283729826845,0.7035340955976432,0.5707057226149588,0.1730135526921839,0.80191789966,0.6289043469678162
0.5,2.5,4,0.625,0.6993958719036012,0.7611858141955683,0.061789942291967104,0.6334672746370984,0.7035340955976432,0.07006682096054484,0.7231466240115088,0.80191789966,0.07877127564849129
0.5,2.5,8,0.3125,0.7490728235336717,0.7611858141955683,0.012112990661896639,0.6891634602397353,0.7035340955976432,0.014370635357907946,0.7860367694235476,0.80191789966,0.015881130236452434
0.5,2.5,16,0.15625,0.7583207385632,0.7611858141955683,0.0028650756323682636,0.7000997065123316,0.7035340955976432,0.0034343890853116843,0.7981377857395929,0.80191789966,0.0037801139204071132
0.5,2.5,32,0.078125,0.760479178652857,0.7611858141955683,0.0007066355427113313,0.7026849002240216,0.7035340955976432,0.0008491953736216029,0.8009841469593304,0.80191789966,0.0009337527006696433
0.5,2.5,64,0.0390625,0.7610097490167391,0.7611858141955683,0.00017606517882917672,0.7033223770662257,0.7035340955976432,0.00021171853141754848,0.8016851571503345,0.80191789966,0.00023274250966554
0.5,2.5,128,0.01953125,0.7611418348776849,0.7611858141955683,4.397931788335807e-05,0.7034812021207751,0.7035340955976432,5.2893476868098865e-05,0.8018597573712358,0.80191789966,5.814228876421801e-05
0.5,2.5,256,0.009765625,0.7611748216762537,0.7611858141955683,1.0992519314578786e-05,0.7035208744875971,0.7035340955976432,1.3221110046091056e-05,0.8019033667950568,0.80191789966,1.4532864943239687e-05
