observable,trotter_steps,sample_count,ideal_error_mean,ideal_error_q25,ideal_error_q75,noisy_error_mean,noisy_error_q25,noisy_error_q75,abs_noise_shift_mean,abs_noise_shift_q25,abs_noise_shift_q75,signed_noise_shift_mean,signed_noise_shift_q25,signed_noise_shift_q75,mean_noise_resolution_95,signed_mean_ci95,significant_noise_points
mz,1,9,0.6174219885547966,0.2805351880739583,0.8375735455973206,0.6144275441103519,0.2864851880739583,0.8307735455973204,0.00516111111111111,0.0022999999999999687,0.00660000000000005,0.004383333333333344,0.00029999999999996696,0.00660000000000005,0.007691438134134929,0.0026195603938449804,4
mz,2,9,0.3314635583624896,0.0319653486138816,0.5985601880739582,0.3315968916958229,0.0380653486138816,0.6025101880739583,0.004527777777777775,0.002899999999999986,0.006099999999999994,-0.002294444444444447,-0.006099999999999994,0.002899999999999986,0.009557204569107513,0.003262146842527072,1
mz,4,9,0.2177221954519148,0.0193126754418699,0.4181014544026795,0.22006715365770188,0.0257376754418699,0.4155764544026795,0.004302777777777783,0.0025249999999999995,0.005875,-0.001747222222222231,-0.00550000000000006,-0.0010000000000000009,0.011211418747958895,0.0037827899932286685,0
mz,8,9,0.08135552878524815,0.0026535437499609,0.0181858141955683,0.08571882073489287,0.0065485455973205,0.0263608141955683,0.010577777777777762,0.006575,0.014425,-0.008477777777777765,-0.014425,-0.006575,0.012798244922005634,0.0043547172392507695,3
mz,16,9,0.006343819744763678,0.0016358141955683,0.0110103231524526,0.017296432572992654,0.0054084328843921,0.0242730214475298,0.014394444444444444,0.004449999999999999,0.017475,-0.012700000000000003,-0.017475,7.499999999999174e-05,0.013282127781317892,0.004626337206010275,3
mz,32,9,0.0034436158081326885,0.0007903486138817,0.0049834328843921,0.01816819049581901,0.0075334328843921,0.0249903486138817,0.017516666666666666,0.0041,0.0242,-0.01603888888888889,-0.0242,-0.000275,0.014090836231992162,0.004911807984022031,5
mz,64,9,0.003972721648786789,0.0015898119260417,0.0043035437499609,0.031712825501010594,0.0088480214475298,0.0481653486138816,0.03208055555555556,0.018950000000000022,0.047250000000000014,-0.02786944444444444,-0.047250000000000014,-0.009449999999999997,0.014186411430335642,0.004949969714432946,6
mz,128,9,0.005334304068267912,0.0027608141955682,0.0079334328843921,0.057401714389899494,0.021396456250039,0.1012903486138816,0.057300000000000004,0.02287499999999998,0.09952499999999997,-0.05221666666666667,-0.09952499999999997,-0.02065,0.01407714094175258,0.004889618006028532,7
mz,256,9,0.003212042858963505,0.0017898119260417,0.0035108141955683,0.0965406032787884,0.0312235455973205,0.1749153486138817,0.09826944444444444,0.034449999999999995,0.17484999999999995,-0.08328611111111112,-0.17484999999999995,-0.029975,0.013877965742236207,0.004789113982464294,9
mz,512,9,0.004327636821996401,0.0017846513861182,0.0049730214475298,0.1737572699454551,0.0639735455973205,0.3223403486138816,0.1739,0.06665,0.319525,-0.15202777777777776,-0.319525,-0.0609,0.013518909705487142,0.004631342571473129,9
